Sl No.,Bank Name,Scheme Name,Product type,Loan Amount,Tenure,Interest Rate,Processing Fee,Collateral
21,Axis Bank,Business Mpower Term Loan,Term loan,Rs.10 lakh to Rs.5 crore,1-5 years,9.5% - 13% p.a.,1% of the loan amount,"Residential, commercial, and industrial property to be provided as collateral"
22,Axis Bank,Power Rent,Term loan,Rs.5 lakh to Rs.20 crore,Renewable yearly,9.75% - 13% p.a.,1% of loan amount,Contracted lease rental receivables
23,Axis Bank,LCBN Power,Short term loan,Rs.5 lakh to Rs.5 crore,Renewable every 12 months,Based on LC discounting rates,Up to 1% of the loan amount,Nil
24,Axis Bank,Zero Collateral Loans,Working capital and term loan,Rs.5 lakh to Rs.1 crore,1-5 years,10% - 12.5% p.a.,Up to 1% of the loan amount,-
25,Axis Bank,Business Loan for Property,Loan for acquiring office space for business,Rs.5 lakh to Rs.5 crore,1-15 years,8.5% - 12.5% p.a.,0.50% to 1% of loan amount,-
26,Axis Bank,Business Power,Working capital to bank's existing Current Account customers,Rs.10 lakh to Rs.2 crore,Renewable every 12 months,10% - 13% p.a.,1% of the loan amount,Flexible collateral security
27,Yes Bank,YES Samriddhi,"Fund based - Overdraft, term loan, cash credit, export credit, etc.
Non-fund based - Buyers credit, letter of credit, bank guarantee",Rs.4 crore,Up to 5 years,9% - 12% p.a.,Up to 1% of the loan amount,Commercial/residential/industrial plot
28,Yes Bank,Yes Suyog,"Fund based - Working capital demand loan, overdraft, term loan, cash credit, etc.
Non-fund based - Bank guarantee, buyers' credit, letter of credit,",Rs.2 crore,Up to 5 years,8.5% - 11% p.a.,1% of the loan amount,Industrial/commercial/residential/NA plot/surrender value of LIC/FD/BG
29,Yes Bank,Smart Overdraft,Dropline overdraft and overdraft,Rs.1 crore,"1 year, renewable",9% - 12% p.a.,0.5% of overdraft limit,Industrial/commercial/residential/NA plot/surrender value of LIC/FD/BG
30,Yes Bank,Cash Backed Lending Program,"Non-fund based - Bank guarantee, letter of credit, buyers' credit",-,Up to 3 years,Based on cash deposit interest,Up to 0.50% of loan amount,-
31,Yes Bank,Channel Finance,Working capital,-,"90-180 days, as per receivable",9.25% - 12.5% p.a.,0.25% of loan amount,-
32,Yes Bank,YES GST,Overdraft based on GST returns,Rs.1 crore,Up to 5 years,8.5% - 12% p.a.,Up to 1% of the loan amount,-
33,Karur Vysya Bank,KVB MSME Cash,"Short term loan, open cash credit, etc.","OCC - 25% on stocks, 40% on receivables
SOD - At least 40% on immovable property
STL - 25%",1-3 years,Linked to credit score and rating,Up to 1% of the loan amount,Current assets
34,Karur Vysya Bank,KVB MSME Term Loan,Short or medium-term loan,20% for machinery and 40% for building,3-7 years,Linked to credit score and rating,0.50%-1% of the loan amount,Immovable assets
35,Karur Vysya Bank,KVB MSME Vendor Bill Discounting,Bill discounting,15%,Varies (depending on bill cycle),Linked to credit score and rating,Varies based on bill value,75% of immovable assets
36,Karur Vysya Bank,KVB MSME Easy Loan,Loans to existing services and manufacturing units with a turnover of below Rs.100 lakh,"LC/BG - 15% cash margin
OCC - 40% on receivables, 25% on stocks
HPL(M) - 50% on old machinery, 20% on new machinery
SOD-RE - 33.33% on primary security",1-5 years,Linked to credit score and rating,0.50%-1% of the loan amount,Current Assets
37,Karur Vysya Bank,KVB Micro Plus,Loans for microenterprises,-,1-5 years,Linked to credit score and rating,0.50%-1% of the loan amount,125% for immovable properties and 100% for liquid securities
